Metric,Value
Baseline market (2025),"180,000"
Chinese EV quota,"49,000"
Chinese EV weighted price,"$40,340"
Canadian baseline price,"$48,450"
Price advantage,"$8,110 (-16.7%)"
Equilibrium total market,"210,745"
Equilibrium avg price,"$46,678"
Market growth,"30,745"
Market growth (%),17.1%
Chinese EV sales,"49,000"
Chinese market share (%),23.3%
Non-Chinese EV sales,"161,745"
Displacement,"18,255"
Net incremental EVs,"30,745"
Weighted grid intensity (g CO2e/kWh),118
Net emissions savings per vehicle (tonnes CO2e/year),3.68
Annual emissions reduction (tonnes CO2e),"113,211"
Lifetime emissions reduction (Mt CO2e),1.70
